epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.8915,1.34076,2.38926,1.4942,0.16741,0.62302,0.17102,0.08833,1.70583,inf,2.08322,0.000467346,0.000467346,0.000467346
2,188.063,1.58536,1.791,1.70311,0.00566,0.04425,0.00161,0.00106,nan,nan,nan,0.000943449,0.000943449,0.000943449
3,274.262,1.65232,1.76739,1.73557,0.08076,0.05937,0.01635,0.00578,4.5388,612.718,27.2548,0.00141863,0.00141863,0.00141863
4,359.251,1.70277,1.7962,1.75586,0.43346,0.42489,0.36026,0.18462,1.89937,4.15006,2.08127,0.00142586,0.00142586,0.00142586
5,453.49,1.58773,1.60341,1.68233,0.59009,0.55635,0.56232,0.3367,1.66356,2.72027,1.82841,0.00142342,0.00142342,0.00142342
6,549.446,1.59445,1.59824,1.66758,0.71838,0.51393,0.58077,0.33238,1.65354,2.0405,1.71975,0.00142029,0.00142029,0.00142029
7,638.102,1.54208,1.50587,1.64718,0.47399,0.53912,0.52054,0.26347,1.92171,1.8398,1.96849,0.00141647,0.00141647,0.00141647
8,725.074,1.50103,1.41161,1.61011,0.82204,0.58632,0.6875,0.37966,1.70449,1.48567,1.65873,0.00141196,0.00141196,0.00141196
9,814.906,1.4785,1.33655,1.57226,0.78967,0.64138,0.71038,0.41899,1.56123,1.36469,1.56859,0.00140678,0.00140678,0.00140678
10,904.212,1.45145,1.34143,1.57956,0.89864,0.69986,0.76664,0.47145,1.4403,1.25998,1.47252,0.00140091,0.00140091,0.00140091
11,997.701,1.39344,1.21071,1.51522,0.7191,0.70571,0.73158,0.47519,1.40386,1.24805,1.45498,0.00139438,0.00139438,0.00139438
12,1083.46,1.41834,1.22865,1.53242,0.87363,0.73072,0.80384,0.50114,1.38997,1.17064,1.45073,0.00138718,0.00138718,0.00138718
13,1175.24,1.41789,1.23597,1.52509,0.82158,0.70849,0.77681,0.44711,1.62024,1.1815,1.57861,0.00137933,0.00137933,0.00137933
14,1256.29,1.38703,1.18105,1.53917,0.82422,0.76959,0.77991,0.46494,1.53677,1.09228,1.47379,0.00137082,0.00137082,0.00137082
15,1337.89,1.35957,1.16351,1.49102,0.85031,0.72075,0.77678,0.44828,1.63172,1.27002,1.56926,0.00136168,0.00136168,0.00136168
16,1420.49,1.36933,1.18782,1.50303,0.90363,0.73883,0.80439,0.4523,1.63354,1.11063,1.58723,0.0013519,0.0013519,0.0013519
